ActionAuditID~ActionAuditType~ActionBy~ActionTimeUTC~EntityID~EntityTypeID~HistoryToken
'1'~'Export Requested'~'580C4EC0-04C1-4496-B286-CFB127A2D988'~'2013-10-28 16:24:24'~'15'~'2'~'9395EE74-DE22-4D08-B00C-1599BE6D1CD4'
'95'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:22'~'55'~'2'~'0D581830-BCDD-41D8-B8E3-9B51CD1950AE'
'96'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:22'~'56'~'2'~'0D581830-BCDD-41D8-B8E3-9B51CD1950AE'
'97'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:22'~'57'~'2'~'0D581830-BCDD-41D8-B8E3-9B51CD1950AE'
'98'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:22'~'58'~'2'~'0D581830-BCDD-41D8-B8E3-9B51CD1950AE'
'99'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:22'~'59'~'2'~'0D581830-BCDD-41D8-B8E3-9B51CD1950AE'
'100'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:22'~'60'~'2'~'0D581830-BCDD-41D8-B8E3-9B51CD1950AE'
'101'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:22'~'61'~'2'~'0D581830-BCDD-41D8-B8E3-9B51CD1950AE'
'102'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:22'~'62'~'2'~'0D581830-BCDD-41D8-B8E3-9B51CD1950AE'
'103'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:22'~'63'~'2'~'0D581830-BCDD-41D8-B8E3-9B51CD1950AE'
'104'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:22'~'64'~'2'~'0D581830-BCDD-41D8-B8E3-9B51CD1950AE'
