doc_MessageID~messageId~creationDateTime~sender~receiver~documentCount
'279'~'oim.20131111279'~'2013-11-11 09:59:27'~'0838016003605'~'8380160030003'~'2'
'280'~'oim.20131111280'~'2013-11-11 10:14:27'~'0838016003605'~'8380160030003'~'1'
'281'~'oim.20131111281'~'2013-11-11 10:29:28'~'0838016003605'~'8380160030003'~'2'
'282'~'oim.20131111282'~'2013-11-11 11:14:31'~'0838016003605'~'8380160030003'~'1'
'283'~'oim.20131111283'~'2013-11-11 11:29:32'~'0838016003605'~'8380160030003'~'1'
'284'~'oim.20131111284'~'2013-11-11 11:59:33'~'0838016003605'~'8380160030003'~'1'
'285'~'oim.20131111285'~'2013-11-11 14:29:40'~'0838016003605'~'8380160030003'~'1'
'286'~'oim.20131111286'~'2013-11-11 16:14:44'~'0838016003605'~'8380160030003'~'1'
'287'~'oim.20131111287'~'2013-11-11 22:44:50'~'0838016003605'~'8380160030003'~'1'
'288'~'oim.20131111288'~'2013-11-11 23:14:52'~'0838016003605'~'8380160030003'~'1'
'289'~'oim.20131111289'~'2013-11-12 03:59:56'~'0838016003605'~'8380160030003'~'1'
'290'~'oim.20131111290'~'2013-11-12 05:14:58'~'0838016003605'~'8380160030003'~'1'
'291'~'oim.20131112291'~'2013-11-12 07:30:01'~'0838016003605'~'8380160030003'~'1'
'292'~'oim.20131112292'~'2013-11-12 08:00:01'~'0838016003605'~'8380160030003'~'1'
'293'~'oim.20131112293'~'2013-11-12 09:30:04'~'0838016003605'~'8380160030003'~'1'
'294'~'oim.20131112294'~'2013-11-12 09:45:04'~'0838016003605'~'8380160030003'~'1'
'295'~'oim.20131112295'~'2013-11-12 10:00:05'~'0838016003605'~'8380160030003'~'1'
'296'~'oim.20131112296'~'2013-11-12 10:30:07'~'0838016003605'~'8380160030003'~'1'
'297'~'oim.20131112297'~'2013-11-12 11:15:09'~'0838016003605'~'8380160030003'~'2'
'298'~'oim.20131112298'~'2013-11-12 11:30:10'~'0838016003605'~'8380160030003'~'2'
'299'~'oim.20131112299'~'2013-11-12 11:45:10'~'0838016003605'~'8380160030003'~'1'
'300'~'oim.20131112300'~'2013-11-12 19:00:16'~'0838016003605'~'8380160030003'~'3'
'301'~'oim.20131112301'~'2013-11-12 21:45:20'~'0838016003605'~'8380160030003'~'2'
'302'~'oim.20131112302'~'2013-11-12 23:15:21'~'0838016003605'~'8380160030003'~'1'
